Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Energy Capacity,Owner,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Seasonal Mod,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12
Deep Explorer Plate,2935559305,"""6917529839987828041""",favorite,Legendary,Chest Armor,duality,Titan,1600,,10,Titan(1739),true,true,5,17,,4,23,15,31,4,9,86,2,21,10,29,2,2,66,artifice,"Loreley Splendor - , Solar",high resilience + high discipline,Minor Strength Mod*,Charged Up*,Concussive Dampener*,Melee Damage Resistance*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Radiant Breaker Plate*,Recovery-Forged*,Artifice Armor*
Lion Rampant,3539357318,"""6917529205163054912""",,Exotic,Leg Armor,,Titan,1600,,6,Titan(1739),true,true,1,1,,2,11,18,16,14,2,63,2,11,18,16,14,2,63,,,"#neutral, #pvp",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Jump Jets*,,,,,,
Deep Explorer Mark,420895300,"""6917529804437670241""",,Legendary,Titan Mark,duality,Titan,1770,,10,Titan(1739),true,true,5,17,,2,2,5,12,2,2,25,0,0,0,0,0,0,0,artifice,"Severance Enclosure - , Synthoceps - , Hoarfrost - , HoIL Void - , Falling Star - , Loreley Splendor - , Armamentarium - , Ursas - ,  - Burning Steps PvE - , HoIL Arc - ,  - Heart of Inmost Light Solar - ,  - Helm of Saint XIV - , Solar, Strike, PvE, Solar, Solar",#pve,Discipline Mod*,Bomber*,Empowered Finish*,Time Dilation*,Amethyst Veil*,Upgrade Armor*,Ringwalker Mark*,Recovery-Forged*,Artifice Armor*,,,,
Deep Explorer Mask,4047213660,"""6917529806491248219""",,Legendary,Helmet,duality,Hunter,1600,,10,Hunter(1799),true,false,5,17,,14,32,7,18,18,4,93,2,30,2,16,16,2,68,artifice,"Gyrfalcon's Hauberk - , PvE",high resilience,Mobility Mod*,Harmonic Siphon*,Kinetic Siphon*,Special Ammo Finder*,Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Dragonfly Regalia Mask*,Recovery-Forged*,Artifice Armor*
Atavistic Idol Mask,868732497,"""6917529792904289221""",,Legendary,Helmet,trials,Hunter,1600,,10,Hunter(1799),true,false,5,17,,8,23,12,21,4,14,82,6,16,10,19,2,12,65,,"Omnioculus - , Aeons Shatterdive - , Nightfall",high total,Minor Resilience Mod*,Kinetic Siphon*,Arc Siphon*,Special Ammo Finder*,Queen's Colors*,Upgrade Armor*,*,*,*,*,Gensym Knight Casque*,,
Graviton Forfeit,2773056939,"""6917529199641188708""",,Exotic,Helmet,,Hunter,1764,,10,Hunter(1799),true,false,1,2,,24,4,16,15,11,11,81,17,2,14,13,9,9,64,,"Graviton Forfeit - , Void","#void, incredible for #solo content and for surviving in #endgame #pve",Minor Mobility Mod*,Special Ammo Finder*,Stasis Siphon*,Harmonic Siphon*,Metro Shift*,Upgrade Armor*,*,*,*,*,Rigel Crossroads*,Vanishing Shadow*,
Celestial Nighthawk,1321354573,"""6917529426186305594""",,Exotic,Helmet,,Hunter,1600,,10,Hunter(1799),true,false,1,1,,18,5,15,4,22,13,77,16,3,13,2,20,11,65,,,"#solar, #endgame/#raid #pve, high total",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Hrafnagud*,Hawkeye Hack*,,,,,
Tusked Allegiance Mask,2516879931,"""6917529867493338844""",favorite,Legendary,Helmet,psiops,Hunter,1600,,10,Hunter(1799),true,false,5,16,,14,32,4,32,4,4,90,2,30,2,30,2,2,68,,"Stareaters - , Athrys's Embrace - , Frostees - , Alpha, Strand",high resilience + high discipline,Mobility Mod*,Harmonic Siphon*,Arc Siphon*,Special Ammo Finder*,Queen's Colors*,Upgrade Armor*,*,*,*,*,Valkyrian Mask*,,
Assassin's Cowl,2203146422,"""6917529856034998039""",,Exotic,Helmet,campaign,Hunter,1775,,10,Hunter(1799),true,false,3,8,,20,20,4,16,11,10,81,13,18,2,14,9,8,64,,"Assassin’s Cowl, Dungeon","#endgame #pve, #neutral",Minor Mobility Mod*,Arc Siphon*,Hands-On*,Special Ammo Finder*,Queen's Colors*,Upgrade Armor*,*,*,*,*,Vanishing Execution*,,
Deep Explorer Grasps,1148597205,"""6917529807120323629""",,Legendary,Gauntlets,duality,Hunter,1600,,10,Hunter(1799),true,false,5,17,,4,25,23,25,4,10,91,2,23,8,23,2,8,66,artifice,"Stareaters - , Gyrfalcon's Hauberk - , Alpha, PvE",high resilience + high discipline,Recovery Mod*,Impact Induction*,Focusing Strike*,Heavy Handed*,Coastal Suede*,Upgrade Armor*,*,*,*,*,Tusked Allegiance Grips*,Recovery-Forged*,Artifice Armor*
Tusked Allegiance Grips,4017738218,"""6917529866298025275""",,Legendary,Gauntlets,psiops,Hunter,1600,,10,Hunter(1799),true,false,5,16,,9,26,9,29,4,4,81,7,24,2,27,2,2,64,,"Frostees - , Strand",high recovery + high discipline,Minor Recovery Mod*,Firepower*,Impact Induction*,Focusing Strike*,Bloody Tooth*,Upgrade Armor*,*,*,*,*,Virtuous Grips*,,
Aeon Swift,3942036043,"""6917529185582681159""",,Exotic,Gauntlets,,Hunter,1600,,10,Hunter(1799),true,false,1,2,,15,10,25,20,8,9,87,3,8,23,18,6,7,65,,"Aeons Shatterdive - , Nightfall","#neutral #stasis, #endgame #pve",Mobility Mod*,Impact Induction*,Focusing Strike*,Heavy Handed*,Horizon Blush*,Upgrade Armor*,*,*,*,*,Sect of Insight*,,
Deep Explorer Grasps,1148597205,"""6917529829310891774""",,Legendary,Gauntlets,duality,Hunter,1751,,10,Hunter(1799),true,false,5,17,,13,25,14,25,4,9,90,8,23,2,23,2,7,65,artifice,"Assassin’s Cowl, Omnioculus - , Graviton Forfeit - , Void, Dungeon",high resilience + high discipline,Recovery Mod*,Focusing Strike*,Grenade Kickstart*,Heavy Handed*,Basalt Toxic*,Upgrade Armor*,*,*,*,*,Grips of Exaltation*,Mobility-Forged*,Artifice Armor*
Caliban's Hand,3453042252,"""6917529867463098410""",,Exotic,Gauntlets,lostsectors,Hunter,1600,,10,Hunter(1799),true,false,5,17,,12,23,4,26,8,4,77,10,21,2,24,6,2,65,,,"high recovery + high discipline, #pve",Queen's Colors*,Upgrade Armor*,*,*,*,*,Roast 'Em*,,,,,,
The Dragon's Shadow,2766109874,"""6917529587991253377""",,Exotic,Chest Armor,,Hunter,1600,,9,Hunter(1799),true,false,1,1,,20,4,10,9,22,2,67,20,4,10,9,22,2,67,,PvP Dragon's Shadow,"#neutral, #pvp high mobility + high intellect",Metro Shift*,Upgrade Armor*,*,*,*,*,Wraithmetal Mail*,,,,,,
Ketchkiller's Vest,92499596,"""6917529854378569772""",,Legendary,Chest Armor,plunder,Hunter,1600,,10,Hunter(1799),false,false,5,18,,14,13,18,22,8,8,83,12,6,16,20,6,6,66,,"Aeons Shatterdive - , Nightfall",high total,Minor Resilience Mod*,Arc Resistance*,Concussive Dampener*,Melee Damage Resistance*,Carminica*,Upgrade Armor*,*,*,*,*,Celestial Cuirass*,,
Omnioculus,1935198785,"""6917529482078923363""",,Exotic,Chest Armor,lostsectors,Hunter,1600,,10,Hunter(1799),true,false,4,13,,9,8,20,17,11,10,75,7,6,18,15,9,8,63,,Omnioculus - ,I think this exotic's usefulness has gone down in #endgame #pve with #void 3.0. The fireteam doesn't always need invis,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Leering Marrow*,Beyond The Veil*,,,,,
Tusked Allegiance Vest,4144240158,"""6917529855303243037""",,Legendary,Chest Armor,psiops,Hunter,1779,,10,Hunter(1799),true,false,5,16,,16,22,4,14,4,22,82,9,20,2,12,2,20,65,,"Assassin’s Cowl, Stareaters - ,  - Celestial Nighthawk - , Renewal Grasps - , Frostees - , Dungeon, Alpha, Strand",high resilience + high strength,Minor Mobility Mod*,Melee Damage Resistance*,Concussive Dampener*,Melee Damage Resistance*,Mind's Eye*,Upgrade Armor*,*,*,*,*,Atavistic Idol Vest*,,
Gyrfalcon's Hauberk,461841403,"""6917529855048899477""",,Exotic,Chest Armor,lostsectors,Hunter,1600,,9,Hunter(1799),true,false,5,18,,12,20,10,8,14,10,74,2,20,10,8,14,10,64,,"Gyrfalcon's Hauberk - , PvE","#void #pve, gaining #barrier rounds after leaving invis seems very strong, not to mention the damage bonus",Mobility Mod*,Concussive Dampener*,Melee Damage Resistance*,Amethyst Veil*,Upgrade Armor*,*,*,*,*,"See Me, Feel Me*",,,
St0mp-EE5,193869520,"""6917529208071927711""",,Exotic,Leg Armor,,Hunter,1600,,9,Hunter(1799),true,false,1,1,,16,9,8,19,12,2,66,16,9,8,19,12,2,66,,"PvP Stompees, Stompees","#neutral, #pvp, high discipline",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Turbo-Kickers*,Hydraulic Boosters*,,,,,
Deep Explorer Strides,2724719415,"""6917529806508851496""",,Legendary,Leg Armor,duality,Hunter,1775,,10,Hunter(1799),true,false,5,17,,7,22,17,15,4,18,83,2,20,10,13,2,16,63,artifice,"Assassin’s Cowl,  - Celestial Nighthawk - , Athrys's Embrace - , Gyrfalcon's Hauberk - , Dungeon, PvE",high total,Minor Recovery Mod*,Recuperation*,Innervation*,Stacks on Stacks*,Bloody Tooth*,Upgrade Armor*,*,*,*,*,Virtuous Strides*,Mobility-Forged*,Artifice Armor*
Insight Rover Boots,2905153902,"""6917529876391229326""",infuse,Legendary,Leg Armor,legendaryengram,Hunter,1799,,1,Hunter(1799),false,false,3,11,,8,16,2,6,6,14,52,8,16,2,6,6,14,52,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Fr0st-EE5,609852545,"""6917529540173196171""",,Exotic,Leg Armor,,Hunter,1600,,10,Hunter(1799),true,false,1,3,,10,9,31,16,4,16,86,8,7,19,14,2,14,64,,"Frostees - , Strand","#neutral, #casual #pve, #pvp",Recovery Mod*,Recuperation*,Innervation*,Absolution*,Night's Chill*,Upgrade Armor*,*,*,*,*,Eight-Thousander*,Rapid Cooldown*,
Star-Eater Scales,1001356380,"""6917529394414367968""",,Exotic,Leg Armor,lostsectors,Hunter,1771,,10,Hunter(1799),true,false,4,14,,4,13,27,4,20,13,81,2,11,20,2,18,11,64,,"Stareaters - , Alpha",#neutral #pve. Probably the best hunter super #dps exotic on every subclass except solar,Minor Recovery Mod*,Recuperation*,Arc Weapon Surge*,Stacks on Stacks*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Feast of Light*,,
Twisting Echo Cloak,2486733914,"""6917529570313833566""",,Legendary,Hunter Cloak,30th,Hunter,1756,,10,Hunter(1799),true,false,4,15,,7,5,2,2,2,2,20,0,0,0,0,0,0,0,artifice,"Renewal Grasps - , Shards of Galanor - , Omnioculus - , Gyrfalcon's Hauberk - , Graviton Forfeit - , Void, PvE",#pve #void,Minor Mobility Mod*,Empowered Finish*,Empowered Finish*,Special Finisher*,Crucible Redjack*,Upgrade Armor*,Abyss Walker Cloak*,Resilience-Forged*,Artifice Armor*,,,,
Deep Explorer Cloak,2797334754,"""6917529806529947766""",,Legendary,Hunter Cloak,duality,Hunter,1600,,10,Hunter(1799),true,false,5,17,,15,2,2,2,2,2,25,0,0,0,0,0,0,0,artifice,"Aeons Shatterdive - , Nightfall",#pve #stasis,Mobility Mod*,Special Finisher*,Empowered Finish*,Empowered Finish*,Crucible Redjack*,Upgrade Armor*,Pyrrhic Ascent Cloak*,Mobility-Forged*,Artifice Armor*,,,,
Legacy's Oath Cloak,1021060724,"""6917529211815816254""",,Legendary,Hunter Cloak,deepstonecrypt,Hunter,1600,,10,Hunter(1799),true,false,4,12,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,deepstonecrypt,,#pve,Amethyst Veil*,Upgrade Armor*,,,,,,,,,,,
Iron Fellowship Cloak,1248530160,"""6917529203109656115""",,Legendary,Hunter Cloak,ironbanner,Hunter,1600,,10,Hunter(1799),true,false,3,11,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,,,"#pvp, keep for iron banner bonus",Skele-Ghaul*,Upgrade Armor*,Lightkin Cloak*,Iron Lord's Pride*,,,,,,,,,
Classified,621315878,"""6917529876120169749""",,Unknown,Unknown,,Titan,1802,,10,Hunter(1799),false,false,6,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Cloak of the Great Hunt,1646520469,"""6917529159155807465""",,Legendary,Hunter Cloak,lastwish,Hunter,1600,,10,Hunter(1799),true,false,3,11,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,lastwish,"PvP Dragon's Shadow, PvP Wormhusk, PvP Stompees",#pvp,Photo Finish*,Upgrade Armor*,Psionic Stalker Cloak*,,,,,,,,,,
Deep Explorer Cloak,2797334754,"""6917529823531577970""",,Legendary,Hunter Cloak,duality,Hunter,1600,,10,Hunter(1799),true,false,5,17,,2,2,2,5,2,2,15,0,0,0,0,0,0,0,artifice,,#pve #strand,Iron Countershade*,Upgrade Armor*,Starfarer's Cloak*,Discipline-Forged*,Artifice Armor*,,,,,,,,
Deep Explorer Strides,2724719415,"""6917529807120326185""",,Legendary,Leg Armor,duality,Hunter,1600,,1,Hunter(1799),false,false,5,17,,2,21,9,16,9,7,64,2,21,9,16,9,7,64,artifice,,"high resilience, #mw",Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,
Deep Explorer Mask,4047213660,"""6917529806518483896""",,Legendary,Helmet,duality,Hunter,1792,,10,Hunter(1799),true,true,5,17,,18,28,4,7,9,25,91,6,26,2,2,7,23,66,artifice,Ahamkara's Spine - ,high resilience + high strength,Mobility Mod*,Ashes to Assets*,Harmonic Siphon*,Hands-On*,Horizon Blush*,Upgrade Armor*,*,*,*,*,Epialos Following Mask*,Discipline-Forged*,Artifice Armor*
Young Ahamkara's Spine,475652357,"""6917529746094485495""",,Exotic,Gauntlets,,Hunter,1786,,9,Hunter(1799),true,true,1,1,,25,3,16,20,2,9,75,15,3,16,20,2,9,65,,Ahamkara's Spine - ,"#solar, #pve, high recovery + high discipline",Mobility Mod*,Firepower*,Heavy Handed*,Momentum Transfer*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Augmented Wish*,Wish-Dragon Teeth*,
Tusked Allegiance Vest,4144240158,"""6917529865734281537""",,Legendary,Chest Armor,psiops,Hunter,1791,,10,Hunter(1799),true,true,5,16,,9,32,4,23,11,4,83,2,30,2,21,9,2,66,,"Ahamkara's Spine - , Graviton Forfeit - , Void",high resilience + high discipline,Minor Mobility Mod*,Charged Up*,Melee Damage Resistance*,Concussive Dampener*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Epialos Following Vest*,,
Deep Explorer Strides,2724719415,"""6917529806518486408""",,Legendary,Leg Armor,duality,Hunter,1793,,10,Hunter(1799),true,true,5,17,,9,25,14,29,4,8,89,7,23,2,24,2,6,64,artifice,"Ahamkara's Spine - , Renewal Grasps - , Aeons Shatterdive - , Graviton Forfeit - , Void, Nightfall",high resilience + high discipline,Recovery Mod*,Recuperation*,Solar Weapon Surge*,Stacks on Stacks*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Epialos Following Strides*,Discipline-Forged*,Artifice Armor*
Deep Explorer Cloak,2797334754,"""6917529807134697573""",,Legendary,Hunter Cloak,duality,Hunter,1776,,10,Hunter(1799),true,true,5,17,,12,2,2,2,2,5,25,0,0,0,0,0,0,0,artifice,"Assassin’s Cowl, Stareaters - ,  - Celestial Nighthawk - , Ahamkara's Spine - , Athrys's Embrace - , Frostees - , Dungeon, Alpha, Strand",#pve #solar,Mobility Mod*,Bomber*,Bomber*,Bomber*,Basalt Toxic*,Upgrade Armor*,Empyrean Cartographer Cloak*,Strength-Forged*,Artifice Armor*,,,,
Helm of the Ace-Defiant,641933202,"""6917529199889658160""",junk,Legendary,Helmet,dcv,Hunter,1600,,10,Vault,false,false,3,11,,8,4,24,10,17,9,72,6,2,22,8,15,7,60,,,high recovery + high intellect,Tangled Bronze*,Upgrade Armor*,*,*,*,*,Dragonfly Regalia Mask*,,,,,,
Corrupting Echo Cover,1832715465,"""6917529558026805191""",,Legendary,Helmet,30th,Warlock,1600,,10,Vault,true,false,4,15,,10,7,23,15,18,4,77,8,2,21,13,16,2,62,artifice,PvP Ophidian Aspects - ,high total + high recovery,Crucible Carmine*,Upgrade Armor*,*,*,*,*,Epialos Following Hood*,Resilience-Forged*,Artifice Armor*,,,,
Ketchkiller's Greaves,1640403802,"""6917529864933644957""",,Legendary,Leg Armor,plunder,Titan,1600,,10,Vault,true,false,5,18,,8,24,8,25,10,4,79,6,22,6,23,8,2,67,,,high resilience + high discipline,Upgrade Armor*,*,*,*,*,,,,,,,,
Memory of Cayde Mark,3810010787,"""6917529876136913203""",infuse,Legendary,Titan Mark,campaign,Titan,1784,,1,Vault,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Upgrade Armor*,,,,,,,,,,,,
Karnstein Armlets,3844826440,"""6917529234893791088""",,Exotic,Gauntlets,,Warlock,1600,,9,Vault,true,false,1,1,,6,3,22,11,6,12,60,6,3,22,11,6,12,60,,,"#neutral, #pvp",Royal Welcome*,Upgrade Armor*,*,*,*,*,Gothic Horror*,Vampire's Caress*,,,,,
Deep Explorer Boots,2819810688,"""6917529804402310701""",junk,Legendary,Leg Armor,duality,Warlock,1600,,10,Vault,false,false,5,17,,12,4,23,8,26,4,77,10,2,21,6,24,2,65,artifice,,high recovery + high intellect,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,
Crest of Alpha Lupi,1591207519,"""6917529395729528974""",,Exotic,Chest Armor,,Titan,1600,,4,Vault,true,false,1,1,,11,10,10,19,12,2,64,11,10,10,19,12,2,64,,Crest of Alpha Lupi Arc - ,"#pvp, #pve",Carbon Blood*,Upgrade Armor*,*,,*,,*,,*,,Survival Well*,,
Inaugural Revelry Hood,3738044006,"""6917529092397936726""",archive,Legendary,Helmet,events,Warlock,1600,1060,,Vault,true,false,2,6,The Revelry,10,0,20,5,5,10,50,0,0,20,5,5,10,40,,,revelry,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Ordnance Mod*,Tier 2 Armor*,Kairos Bronze*,Bow Targeting,Pump Action*,Shotgun Reserves,Special Ammo Finder*,Reveler's Antlers*,,
Orpheus Rig,193869523,"""6917529194926091154""",archive,Exotic,Leg Armor,,Hunter,1600,,10,Vault,true,false,1,1,,12,8,17,17,13,4,71,10,6,15,15,11,2,59,, - Orpheus Rigs - ,"#void, #endgame/#casual #pve",Crucible Redjack*,Upgrade Armor*,*,*,*,*,Calliope's Lullaby*,Uncanny Arrows*,,,,,
Hood of the Great Hunt,3445582154,"""6917529197537417242""",,Legendary,Helmet,lastwish,Warlock,1600,,10,Vault,true,false,3,11,,4,4,31,12,9,14,74,2,2,29,10,7,12,62,lastwish,,"#raid, high recovery",Upgrade Armor*,*,*,*,*,,,,,,,,
Icefall Mantle,1467044898,"""6917529231374120022""",junk,Exotic,Gauntlets,lostsectors,Titan,1600,,4,Vault,false,false,4,12,,7,9,14,13,11,6,60,7,9,14,13,11,6,60,,,"#neutral #stasis, #pvp, could technically be used to stun #overload champs in #pve, but would not be reliable",Upgrade Armor*,*,*,*,*,Glacial Guard*,,,,,,,
Annealed Shaper Robes,2011267747,"""6917529504712367258""",,Legendary,Chest Armor,,Warlock,1600,,10,Vault,true,false,4,14,,10,4,24,13,21,4,76,8,2,22,11,19,2,64,, - Contraverse Holds - ,"#pvp, high recovery + high intellect",Imperial Opulence*,Upgrade Armor*,*,*,*,*,Iron Symmachy Robes*,,,,,,
Deep Explorer Gloves,3260781446,"""6917529876728461542""",,Legendary,Gauntlets,duality,Warlock,1799,,1,Vault,false,false,5,17,,2,15,13,16,12,2,60,2,15,13,16,12,2,60,artifice,,,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,
Moonfang-X7 Chassis,1571337215,"""6917529470515063186""",,Legendary,Chest Armor,dungeon,Titan,1600,,10,Vault,true,false,3,11,,4,11,20,17,17,4,73,2,9,18,15,15,2,61,,"Doomfangs - , Ursas - ,  - Phoenix Cradle - ","#pve, high total",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Sunbreak Plate*,,,,,,
BrayTech Researcher's Gloves,1005587287,"""6917529620194152466""",archive,Legendary,Gauntlets,,Warlock,1600,,10,Vault,true,false,3,10,,9,4,25,4,32,4,78,7,2,23,2,30,2,66,,,high recovery + high intellect,Amethyst Veil*,Upgrade Armor*,*,*,*,*,Celestine Gloves*,,,,,,
Resonant Fury Cowl,2316722050,"""6917529735159370398""",,Legendary,Helmet,votd,Warlock,1600,,9,Vault,true,false,5,16,,2,7,22,12,17,2,62,2,7,22,12,17,2,62,vowofthedisciple,,"#raid, high total",Upgrade Armor*,*,*,*,*,,,,,,,,
Chasm of Yul,3921733799,"""6917529826933100940""",,Legendary,Chest Armor,kf,Warlock,1600,,10,Vault,true,false,5,18,,4,8,28,24,8,4,76,2,6,26,22,6,2,64,kingsfall,"PvP Eye of Another World - , PvP Ophidian Aspects - ",high recovery + high discipline,Carminica*,Upgrade Armor*,*,*,*,*,Atavistic Idol Vestments*,,,,,,
Wild Hunt Vestment,317220729,"""6917529220051881848""",junk,Legendary,Chest Armor,seasonpass,Warlock,1600,,10,Vault,false,false,4,12,,10,4,21,12,18,8,73,8,2,19,10,16,6,61,,,"#pve, high recovery + high intellect",Carminica*,Upgrade Armor*,*,*,*,*,Atavistic Idol Vestments*,,,,,,
Resonant Fury Gloves,1656263403,"""6917529687656502257""",,Legendary,Gauntlets,votd,Warlock,1600,,10,Vault,true,false,5,16,,8,9,22,4,26,9,78,6,7,20,2,24,7,66,vowofthedisciple, - Raid VotD - ,"#raid #pve, high recovery + high intellect",Echoed Anger*,Upgrade Armor*,*,*,*,*,,,,,,,
Seventh Seraph Strides,1151338093,"""6917529858874069916""",,Legendary,Leg Armor,seasonpass,Hunter,1600,,10,Vault,true,false,3,10,,4,4,31,22,8,4,73,2,2,29,20,6,2,61,,,high recovery + high discipline,Upgrade Armor*,*,*,*,*,Valkyrian Strides*,,,,,,,
Cuirass of the Hezen Lords,3029386938,"""6917529385965741161""",junk,Legendary,Chest Armor,vaultofglass,Warlock,1600,,10,Vault,false,false,4,14,,8,11,18,9,20,8,74,6,9,16,7,18,6,62,vaultofglass, - Crown of Tempest - ,"#raid, high recovery + high intellect, keep for mod slot",Crucible Redjack*,Upgrade Armor*,*,*,*,*,Epialos Following Robes*,,,,,,
Crystocrene Boots,1577514344,"""6917529597272206186""",,Legendary,Leg Armor,europa,Warlock,1600,,10,Vault,true,false,4,12,,4,8,25,24,9,4,74,2,6,23,22,7,2,62,,,high recovery + high discipline,Upgrade Armor*,*,*,*,*,,,,,,,,
Cinder Pinion Helm,3991622471,"""6917529216423336666""",junk,Legendary,Helmet,crucible,Titan,1600,,10,Vault,false,false,4,12,,8,11,16,24,12,4,75,6,9,14,22,10,2,63,,,high recovery + high discipline,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,,,,,,,
Vigil of Heroes,3569624585,"""6917529084387073890""",archive,Legendary,Chest Armor,strikes,Warlock,1600,1060,,Vault,true,false,2,4,,0,10,30,5,5,10,60,0,10,20,5,5,10,50,,,high recovery,Restorative Warlock Armor*,Plasteel Reinforcement Mod,Restorative Mod*,Recovery Mod*,Masterwork*,Crucible Redjack*,Unflinching Fusion Rifle Aim,Unflinching Light Arms Aim*,Submachine Gun Reserves,Special Ammo Finder*,,,
Wormhusk Crown,3562696927,"""6917529426666334094""",junk,Exotic,Helmet,,Hunter,1600,,10,Vault,false,false,1,3,,15,4,19,17,18,4,77,13,2,17,15,16,2,65,,PvP Wormhusk,"#neutral, #pvp",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,The Gate Lord*,Burning Souls*,,,,,
Channeling Robes (CODA),1652467433,"""6917529196231403561""",junk,Legendary,Chest Armor,dungeon,Warlock,1600,,10,Vault,false,false,3,11,,9,8,20,17,17,4,75,7,6,18,15,15,2,63,, - Eye of Another World,"#pve, high recovery + high discipline + high intellect, (replace iron remembrance)",Royal Treatment*,Upgrade Armor*,*,*,*,*,Elect of the Empty Robes*,,,,,,
Gloves of the Great Hunt,2850984298,"""6917529210851978170""",,Legendary,Gauntlets,lastwish,Warlock,1600,,9,Vault,true,false,4,12,,2,11,16,12,16,6,63,2,11,16,12,16,6,63,lastwish, - Last Wish - ,#raid,Transcendent Blessing*,Goldleaf*,Upgrade Armor*,*,*,*,*,Dragonfly Regalia Reaches*,Taken Barrier*,,,,
Tusked Allegiance Grips,4017738218,"""6917529865727344421""",,Legendary,Gauntlets,psiops,Hunter,1600,,10,Vault,true,false,5,16,,14,22,4,25,8,4,77,12,20,2,23,6,2,65,,,high total,Upgrade Armor*,*,*,*,*,,,,,,,,
Boots of the Assembler,3045642045,"""6917529353191141979""",,Exotic,Leg Armor,lostsectors,Warlock,1600,,9,Vault,true,false,4,14,,2,12,18,7,16,8,63,2,12,18,7,16,8,63,,,"#neutral, #raid #pve, could be good replacement after bubble nerf, but people have to not be in the rift",Crucible Redjack*,Upgrade Armor*,*,*,*,*,Blessing of Order*,,,,,,
Mantle of Battle Harmony,3301944824,"""6917529387354206997""",,Exotic,Chest Armor,lostsectors,Warlock,1600,,10,Vault,true,false,4,13,,12,4,21,9,16,12,74,10,2,19,7,14,10,62,,,"#neutral, #casual #pve, #pvp, high recovery",Testudo*,Upgrade Armor*,*,*,*,*,Rosined Drone*,Absorption Cells*,,,,,
Eidolon Pursuant Plate,2288543943,"""6917529842935157454""",,Legendary,Chest Armor,haunted,Titan,1600,,2,Vault,false,false,5,17,,2,18,7,2,22,2,53,2,18,7,2,22,2,53,,,high resilience + high intellect,Upgrade Armor*,*,*,*,*,Visage of the Reaper*,,,,,,,
Skull of Dire Ahamkara,1030017949,"""6917529113709157086""",archive,Exotic,Helmet,,Warlock,1600,,10,Vault,true,false,1,1,,4,11,22,19,4,10,70,2,9,20,17,2,8,58,,,"#void, #pve",Byzantium Lotus*,Upgrade Armor*,*,*,*,*,The Want of Lies and Wishes*,Actual Grandeur*,,,,,
Contraverse Hold,1906093346,"""6917529399410628630""",,Exotic,Gauntlets,,Warlock,1600,,6,Vault,true,false,2,4,,16,6,14,16,8,6,66,16,6,14,16,8,6,66,, - Contraverse Holds - ,"#void, #casual #pve, #pvp",Upgrade Armor*,*,*,*,*,Grasp of the Void*,Chaotic Exchanger*,,,,,,
Vernal Growth Robes,2967148056,"""6917529092645802700""",archive,Legendary,Chest Armor,eververse,Warlock,1600,1060,,Vault,true,false,2,6,The Revelry,0,10,30,5,5,10,60,0,10,20,5,5,10,50,,,revelry,Restorative Warlock Armor*,Mobility Enhancement Mod,Restorative Mod*,Mobility Mod*,Masterwork*,Imperial Opulence*,Unflinching Power Aim*,Unflinching Sniper Aim,Auto Rifle Reserves,Special Ammo Finder*,,,
Lunafaction Boots,4136768282,"""6917529204270002605""",,Exotic,Leg Armor,,Warlock,1600,,9,Vault,true,false,1,1,,15,3,14,23,7,2,64,15,3,14,23,7,2,64,, - Last Wish - ,"#neutral #solar, #raid #pve, bota with emp rift might be a better option post bubble nerf",Atmospheric Glow*,Upgrade Armor*,*,*,,*,*,,Alchemical Etchings*,,,,
